paraid,LUGAR,Latitude,Longitude,Descricao,Tags
53,lepem,-10.6816415,-37.4355942,"Laboratório de ensino e pesquisa em educação matemática.","Bloco C, Matemática"
54,Lapeq IV,-10.6816422,-37.4356040,"Laboratório de pesquisa em quimica .","Bloco C, Quimica"
37,Hall Bloco C,-10.6817239,-37.4355838,"Hall localizado no Bloco C.","Bloco C, Hall"
40,Banheiro F Bloco C,-10.6817239,-37.4355590,"Banheiro feminino localizado no Bloco C.","Bloco C, Banheiro"
38,Banheiro M Bloco C,-10.6817301,-37.4355500,"Banheiro masculino localizado no Bloco C.","Bloco C, Banheiro"
41,1 Andar BlocoC escada2,-10.6817647,-37.4355966,"1º Andar no Bloco C, com acesso a escada 2.","Bloco C, Escada"
43,Sala Servidor,-10.6817281,-37.4357089, "Local dedicado ao armazenamento e operação de equipamentos de rede e servidores, garantindo o suporte e a manutenção dos sistemas de TI.","Bloco C"
44,109C,-10.6819509,-37.4355024,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
45,103C,-10.6818672,-37.4355131,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
46,108C,-10.6819446,-37.4356006,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
47,102C,-10.6819383,-37.4355161,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
49,107C,-10.6820105,-37.4355966,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
48,101C,-10.6819545,-37.4355151,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco C.","Bloco C, Sala de aula"
78,Mini Auditório,-10.6820072,-37.4354507,"Espaço compacto equipado para apresentações e eventos, com assentos para um público reduzido e recursos audiovisuais básicos.", "Auditório"
55,Corredor Bloco C - B,-10.6817611,-37.4354920,"Corredor localizado no Bloco C.","Bloco C, Corredor"
58,Lance,-10.6815067,-37.4354631,"Sala de pesquisa.", "Sala Modular"
59,Sala Modular,-10.6815259,-37.4354534,"Espaço flexível e adaptável, com paredes móveis que permitem reconfiguração para diferentes usos e necessidades.","Sala Modular"
67,Laboratório 1 bloco C,-10.6816260,-37.4353522,"Laratório localizado no Bloco C","Bloco C, Laboratório"
56,Banheiro Container,-10.6814932,-37.4354082,"Banheiro container com estrutura modular.","Banheiro"
Bloco B,X,X,
57,Entrada bloco B,-10.6817015,-37.4352677,"Entrada de acesso para o Bloco B.","Bloco B, Entrada"
60,Biblioteca,-10.6816471,-37.4353414,"espaço acadêmico com acervo de livros, bancos para sentar, mesas, acesso a Wi-Fi, ar condicionado.","Bloco B, Biblioteca"
