LUGAR,Latitude,Longitude
secretaria administração ,"-10,6815285","-37,4364422"
sala 6 no departamento de biologia ,"-10,6815908"," -37,4365655"
sala 3 no departamento de biologia ,"-10,6815908"," -37,4365655"
sala josé ronaldo e eduardo josé,"-10,6815911","-37,4366068"
sala marcos vinicius meiado ,"-10,6815957","-37,4366219"
sala lia midori e márcio andrei,"-10,6815940"," -37,4366214"
sala célia gomes e ricardo santos,"-10,6815949","-37,4366214"
sala 9 no departamento de biologia ,"-10,6815937"," -37,4366210"
sala juliano ricardo fabricante ,"-10,6815940"," -37,4366205"
"sala márcio andrei guimarães, lia midori e tainan amorim","-10,6816161","-37,4366990"
secretaria biociências ,"-10,6816160"," -37,4366987"
laboratório de informática Educação ,-10.681788,-37.436243
Secretaria Educação ,-10.681701,-37.436283
"Sala Bruno Cerqueira, Dilma Barros e Maria Jeane ",-10.681713,-37.436340
"Sala Joelma carvalho, Marilene Santos e Simone ",-10.681614,-37.436335
"Sala João Paulo, Marcos Aurélio e Paulo Sérgio ",-10.681565,-37.436392
"Sala Lívia Jéssica, Maria Batista e Marilene Batista",-10.681594,-37.436451
"Sala Fernanda Amorim, Isabela Rosália e sule Samaio",-10.681587,-37.436447
"Sala Daisy Mara, Mônica Andrade e Paulo Sérgio ",-10.681572,-37.436450
